City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,grootfontein,-19.5667,18.1167,294.91,24,2,1.54,NA,1733009294
221,jenbach,47.4013,11.7406,268.85,62,0,2.63,AT,1733009295
222,margate,51.3813,1.3862,283.64,88,0,0.45,GB,1733009101
223,stony plain,53.5334,-114.0021,256.34,83,100,2.57,CA,1733009297
224,live oak,36.9836,-121.9805,294.61,44,0,1.54,US,1733009298
225,prado,-17.3411,-39.2208,298.61,83,86,6.87,BR,1733009299
226,avsallar,36.616,31.7806,287.11,76,6,1.81,TR,1733009300
227,bekondo,4.6819,9.3214,295.97,80,2,1.48,CM,1733009302
228,puerto deseado,-47.7503,-65.8938,292.71,28,29,15.08,AR,1733009303
229,shostka,51.863,33.4698,273.85,90,100,2.0,UA,1733009304
230,sola,-13.8833,167.55,300.54,77,20,4.19,VU,1733009305
231,mungwi,-10.1732,31.3694,289.63,93,92,1.6,ZM,1733009306
232,gueret,46.1667,1.8667,280.47,97,19,1.41,FR,1733009307
233,mossel bay,-34.1831,22.146,289.11,74,34,1.43,ZA,1733009309
234,paredon,16.0333,-93.8667,302.92,49,0,5.65,MX,1733009310
235,saipan,15.1355,145.701,302.54,84,40,7.72,MP,1733009311
236,taltal,-25.4,-70.4833,291.82,74,28,2.7,CL,1733009312
237,guerrero negro,27.9769,-114.0611,297.43,32,100,3.83,MX,1733009313
238,lodwar,3.1191,35.5973,302.68,42,39,1.3,KE,1733009314
239,longyearbyen,78.2186,15.6401,264.06,53,20,5.66,SJ,1733009315
240,kapa'a,22.0752,-159.319,300.33,75,0,3.6,US,1733009316
241,kingston,17.997,-76.7936,301.68,84,40,4.12,JM,1733009142
242,tazovsky,67.4667,78.7,264.02,92,100,9.06,RU,1733009319
243,rio grande,-32.035,-52.0986,291.41,72,0,5.0,BR,1733009320
244,tra mhor,52.1624,-7.1524,286.33,99,100,4.47,IE,1733009321
245,niagara falls,43.1001,-79.0663,272.53,64,100,6.69,CA,1733009322
246,kidal,18.4411,1.4078,292.4,15,5,3.93,ML,1733009323
247,tongchuan,35.0806,109.0897,275.98,37,0,2.18,CN,1733009325
248,ambodifotatra,-16.9833,49.85,298.7,78,31,2.72,MG,1733009326
249,hyesan,41.4017,128.1778,264.18,92,92,0.51,KP,1733009327
250,ouarzazat,30.9189,-6.8934,287.31,33,40,1.03,MA,1733009328
251,igarka,67.4667,86.5833,262.09,77,100,11.55,RU,1733009329
252,kofele,7.0667,38.7833,281.09,60,91,3.18,ET,1733009330
253,nova sintra,14.8667,-24.7167,299.62,69,55,7.02,CV,1733009331
254,la palma,33.8464,-118.0467,298.36,24,75,4.63,US,1733009332
255,mili,6.0815,171.735,300.89,79,96,6.54,MH,1733009334
256,eyl,7.9803,49.8164,298.0,75,43,7.54,SO,1733009335
257,gadzhiyevo,69.2551,33.3362,265.45,88,82,8.96,RU,1733009336
258,plettenberg bay,-34.0527,23.3716,288.78,85,42,2.04,ZA,1733009337
259,sinop,41.7711,34.8709,274.37,78,54,3.02,TR,1733009338
260,atafu village,-8.5421,-172.5159,301.77,68,100,7.43,TK,1733009339
261,kindu,-2.95,25.95,294.23,99,92,1.01,CD,1733009340
262,kristinestad,62.2743,21.376,278.76,93,92,6.76,FI,1733009341
263,selfoss,63.9331,-20.9971,268.19,61,1,7.95,IS,1733009343
264,chui,-33.6971,-53.4616,289.23,73,11,3.37,UY,1733009344
265,alta,69.9689,23.2717,269.37,77,75,6.71,NO,1733009345
266,port arthur,38.8,121.2667,279.27,59,100,4.36,CN,1733009346
267,mbaiki,3.8678,17.9892,295.87,49,16,0.81,CF,1733009347
268,kievka,50.2619,71.5514,271.69,98,100,2.23,KZ,1733009348
269,badger,64.8,-147.5333,252.24,80,0,3.09,US,1733009349
270,kokshetau,53.2775,69.3883,257.62,97,72,2.0,KZ,1733009350
271,fray luis a. beltran,-32.7912,-60.7282,295.3,68,0,4.12,AR,1733009352
272,pisco,-13.7,-76.2167,294.18,83,0,9.26,PE,1733009341
273,port lincoln,-34.7333,135.8667,291.74,65,9,3.17,AU,1733009354
274,moose jaw,50.4001,-105.5344,254.29,84,98,4.63,CA,1733009164
275,anta,25.15,76.3,287.91,42,0,1.14,IN,1733009356
276,puerto aysen,-45.4,-72.7,283.06,95,93,2.74,CL,1733009350
277,las tablas,7.7667,-80.2833,300.47,99,78,0.85,PA,1733009358
278,arraial do cabo,-22.9661,-42.0278,297.0,93,100,3.28,BR,1733009359
279,monywa,22.1167,95.1333,293.31,75,55,2.75,MM,1733009361
280,uturoa,-16.7333,-151.4333,300.64,72,77,2.47,PF,1733009362
281,whistler,50.1164,-122.9695,274.72,100,100,0.0,CA,1733009131
282,lebu,-37.6167,-73.65,286.96,73,37,6.58,CL,1733009364
283,remire-montjoly,4.9167,-52.2667,300.17,83,20,1.54,GF,1733009365
284,tarawa,1.419,172.984,303.2,70,20,5.66,KI,1733009369
285,cockburn town,21.4612,-71.1419,300.37,84,20,4.9,TC,1733009370
286,laranjeiras do sul,-25.4078,-52.4161,295.76,88,100,1.52,BR,1733009371
287,kapuskasing,49.4169,-82.4331,266.2,100,75,3.09,CA,1733009372
288,clarksville,36.5298,-87.3595,277.18,65,20,2.06,US,1733009243
289,ust-nera,64.5667,143.2,248.99,100,77,0.95,RU,1733009374
290,sovetskaya gavan',48.9723,140.2878,269.72,59,100,6.72,RU,1733009375
291,tidjikja,18.5564,-11.4271,293.88,16,9,5.5,MR,1733009376
292,kiffa,16.6166,-11.4045,296.84,12,1,5.12,MR,1733009378
293,alofi,-19.0595,-169.9187,300.09,83,75,6.69,NU,1733009379
294,ar ruways,24.1103,52.7306,294.35,62,0,8.05,AE,1733009380
295,angaur state,6.906,134.13,302.39,75,65,5.69,PW,1733009381
296,huarmey,-10.0681,-78.1522,294.12,83,59,4.55,PE,1733009382
297,newman,37.3138,-121.0208,289.7,38,33,1.85,US,1733009153
298,itapetininga,-23.5917,-48.0531,295.26,92,92,5.21,BR,1733009385
299,lautoka,-17.6167,177.4667,303.07,66,40,4.12,FJ,1733009386
300,balsas,-7.5325,-46.0356,302.59,43,88,1.99,BR,1733009387
301,acapulco de juarez,16.8634,-99.8901,302.05,74,0,4.63,MX,1733009388
302,mount isa,-20.7333,139.5,304.02,58,2,2.57,AU,1733009389
303,shahrud,36.4182,54.9763,273.01,60,0,3.38,IR,1733009390
304,tura,25.5198,90.2201,288.8,78,50,1.62,IN,1733009391
305,masku,60.5708,22.0988,278.33,87,100,5.14,FI,1733009392
306,cefalu,38.0386,14.0229,282.79,68,52,2.29,IT,1733009394
307,mount gambier,-37.8333,140.7667,288.74,97,100,2.82,AU,1733009395
308,viana,-20.3903,-40.4961,299.02,99,100,1.4,BR,1733009396
309,luganville,-15.5333,167.1667,301.44,74,36,2.24,VU,1733009397
310,broken hill,-31.95,141.4333,297.05,39,0,1.81,AU,1733009398
311,nguigmi,14.2495,13.1092,291.8,27,5,5.45,NE,1733009399
